id,locality,n,mountain_chain,region,latitude,longitude,na,he,ar,par
1,Nevado de Toluca,12,Nevado de Toluca,Central West,19.19361111111111,-99.84805555555555,5.44,0.62,4.56,0.35
2,Texcalyacac,29,Sierra de las Cruces,Central West,19.120555555555555,-99.5,8.22,0.66,5.14,0.5
3,Desierto de los Leones,7,Sierra de las Cruces,Central West,19.266666666666666,-99.30055555555555,4.44,0.59,4.44,0.18
4,Ajusco,8,Sierra de las Cruces,Central West,19.18277777777778,-99.3,4.22,0.49,4.05,0.02
8,Calpan,34,Sierra Nevada,Central,19.13138888888889,-98.59166666666667,11.89,0.73,6.48,0.29
9,Atzompa,43,Sierra Nevada,Central,19.180555555555557,-98.55972222222222,10.33,0.69,5.79,0.08
10,Llano Grande,15,Sierra Nevada (Popocatepetl‐Iztaccihuatl),Central,19.33888888888889,-98.72055555555556,7.78,0.65,5.8,0.25
11,Rio Frio,27,Sierra Nevada (Popocatepetl‐Iztaccihuatl),Central,19.366111111111113,-98.69472222222223,7.56,0.57,4.77,0.13
12,Nanacamilpa,14,Sierra Nevada (Popocatepetl‐Iztaccihuatl),Central,19.480277777777776,-98.5961111111111,6.22,0.59,4.91,0.1
13,MalincheS,8,Malinche,Central East,19.18722222222222,-98.02194444444444,5,0.58,4.69,0.09
14,MalincheW,17,Malinche,Central East,19.25777777777778,-98.095,6.67,0.6,4.76,0.06
16,MalincheE,13,Malinche,Central East,19.229999999999997,-97.97500000000001,6.11,0.56,4.73,0.21
17,Texmalaquilla,8,Pico de Orizaba,Southeast,18.941944444444445,-97.28999999999999,6,0.71,5.64,0.91
18,Xometla,16,Pico de Orizaba,Southeast,18.974999999999998,-97.19055555555556,9.11,0.83,6.86,0.49
19,Vigas,48,Cofre de Perote,Northeast,19.630833333333335,-97.09055555555555,11.78,0.66,5.75,1.31
